"Name","Resident Jobs"
"Description","Industry number and percentages refer to the total and share of workers (aged 16 and over) in an industry, by the residence of the jobholder. CCC generated 5-year estimates and coded this variable to correspond with broader categories outlined by the <a href=""https://www.naics.com/naics-code-description/"" target=""_blank"">North American Industry Classification System</a>.&nbsp;<br />
<br />
""Management and Professional Services"" includes workers in Legal Services, Scientific Research and Development, Architectural and Engineering Services, and other professions which tend to require advanced degrees or certificates.<br />
<br />
""Other Services"" includes workers in Auto Repair and Maintenance, Barber Shops, Beauty Salons, and Religious Organizations, among others.<br />
Sheepshead Bay,Public Administration,2015,Percent,0.03311,315
Brownsville,Public Administration,2015,Percent,0.0613,316
East Flatbush,Public Administration,2015,Percent,0.04479,317
Canarsie,Public Administration,2015,Percent,0.05606,318
Astoria,Public Administration,2015,Percent,0.02869,401
Sunnyside/Woodside,Public Administration,2015,Percent,0.02315,402
Jackson Heights,Public Administration,2015,Percent,0.02667,403
Elmhurst/Corona,Public Administration,2015,Percent,0.02343,404
Ridgewood/Glendale,Public Administration,2015,Percent,0.04087,405
Rego Park/Forest Hills,Public Administration,2015,Percent,0.04123,406
Flushing,Public Administration,2015,Percent,0.0296,407
Fresh Meadows/Briarwood,Public Administration,2015,Percent,0.03858,408
Woodhaven,Public Administration,2015,Percent,0.03888,409
Howard Beach,Public Administration,2015,Percent,0.04363,410
Bayside,Public Administration,2015,Percent,0.0409,411
Jamaica/St. Albans,Public Administration,2015,Percent,0.05817,412
Queens Village,Public Administration,2015,Percent,0.06667,413
The Rockaways,Public Administration,2015,Percent,0.06819,414
St. George,Public Administration,2015,Percent,0.07499,501
South Beach,Public Administration,2015,Percent,0.0578,502
Tottenville,Public Administration,2015,Percent,0.07368,503
Bronx,Public Administration,2015,Percent,0.03622,36005
Brooklyn,Public Administration,2015,Percent,0.03811,36047
Manhattan,Public Administration,2015,Percent,0.02592,36061
Queens,Public Administration,2015,Percent,0.0402,36081
Staten Island,Public Administration,2015,Percent,0.06953,36085
New York City,Public Administration,2015,Percent,0.03736,3651000
Battery Park/Tribeca,Retail,2015,Number,2743.71519,101
Greenwich Village,Retail,2015,Number,4050.28481,102
Lower East Side,Retail,2015,Number,7210,103
Chelsea/Clinton,Retail,2015,Number,5242.29057,104
Midtown Business District,Retail,2015,Number,2623.70943,105
Murray Hill/Stuyvesant,Retail,2015,Number,5726,106
Upper West Side,Retail,2015,Number,4809,107
Upper East Side,Retail,2015,Number,8080,108
Manhattanville,Retail,2015,Number,5480,109
Central Harlem,Retail,2015,Number,5764,110
East Harlem,Retail,2015,Number,6152,111
Washington Heights,Retail,2015,Number,11970,112
Mott Haven,Retail,2015,Number,4361.51635,201
Hunts Point,Retail,2015,Number,2490.48365,202
Morrisania,Retail,2015,Number,3514.75316,203
Concourse/Highbridge,Retail,2015,Number,7419,204
University Heights,Retail,2015,Number,7310,205
East Tremont,Retail,2015,Number,3669.24684,206
Bedford Park,Retail,2015,Number,7307,207
Riverdale,Retail,2015,Number,4315,208
Unionport/Soundview,Retail,2015,Number,8538,209
Throgs Neck,Retail,2015,Number,5154,210
Pelham Parkway,Retail,2015,Number,6796,211
Williamsbridge,Retail,2015,Number,6713,212
Williamsburg/Greenpoint,Retail,2015,Number,8353,301
Fort Greene/Brooklyn Hts,Retail,2015,Number,5107,302
Bedford Stuyvesant,Retail,2015,Number,6333,303
Bushwick,Retail,2015,Number,7753,304
East New York,Retail,2015,Number,6725,305
Park Slope,Retail,2015,Number,4951,306
Sunset Park,Retail,2015,Number,6924,307
Crown Heights North,Retail,2015,Number,5028,308
Crown Heights South,Retail,2015,Number,4473,309
Bay Ridge,Retail,2015,Number,5723,310
Bensonhurst,Retail,2015,Number,9030,311
Borough Park,Retail,2015,Number,7151,312
Coney Island,Retail,2015,Number,3885,313
Flatbush/Midwood,Retail,2015,Number,6803,314
Sheepshead Bay,Retail,2015,Number,7147,315
Brownsville,Retail,2015,Number,4737,316
East Flatbush,Retail,2015,Number,5567,317
Canarsie,Retail,2015,Number,8551,318
Astoria,Retail,2015,Number,9459,401
Sunnyside/Woodside,Retail,2015,Number,8000,402
Jackson Heights,Retail,2015,Number,9497,403
Elmhurst/Corona,Retail,2015,Number,8275,404
Ridgewood/Glendale,Retail,2015,Number,7335,405
Rego Park/Forest Hills,Retail,2015,Number,4678,406
Flushing,Retail,2015,Number,13035,407
Fresh Meadows/Briarwood,Retail,2015,Number,7173,408
Woodhaven,Retail,2015,Number,8308,409
Howard Beach,Retail,2015,Number,7175,410
Bayside,Retail,2015,Number,6196,411
Jamaica/St. Albans,Retail,2015,Number,12895,412
Queens Village,Retail,2015,Number,10097,413
The Rockaways,Retail,2015,Number,3979,414
St. George,Retail,2015,Number,7430,501
South Beach,Retail,2015,Number,6097,502
Tottenville,Retail,2015,Number,7413,503
Bronx,Retail,2015,Number,67588,36005
Brooklyn,Retail,2015,Number,114241,36047
Manhattan,Retail,2015,Number,69851,36061
Queens,Retail,2015,Number,116102,36081
Staten Island,Retail,2015,Number,20940,36085
New York City,Retail,2015,Number,388722,3651000
Battery Park/Tribeca,Retail,2015,Percent,0.06972,101
Greenwich Village,Retail,2015,Percent,0.06972,102
Lower East Side,Retail,2015,Percent,0.0901,103
Chelsea/Clinton,Retail,2015,Percent,0.08047,104
Midtown Business District,Retail,2015,Percent,0.08047,105
Murray Hill/Stuyvesant,Retail,2015,Percent,0.0606,106
Upper West Side,Retail,2015,Percent,0.04322,107
Upper East Side,Retail,2015,Percent,0.06175,108
Manhattanville,Retail,2015,Percent,0.09056,109
Central Harlem,Retail,2015,Percent,0.09852,110
East Harlem,Retail,2015,Percent,0.12446,111
Washington Heights,Retail,2015,Percent,0.11489,112
Mott Haven,Retail,2015,Percent,0.13617,201
Hunts Point,Retail,2015,Percent,0.13617,202
Morrisania,Retail,2015,Percent,0.12634,203
Concourse/Highbridge,Retail,2015,Percent,0.14208,204
University Heights,Retail,2015,Percent,0.14071,205
East Tremont,Retail,2015,Percent,0.12634,206
Bedford Park,Retail,2015,Percent,0.13883,207
Riverdale,Retail,2015,Percent,0.08695,208
Unionport/Soundview,Retail,2015,Percent,0.11278,209
Throgs Neck,Retail,2015,Percent,0.09258,210
Pelham Parkway,Retail,2015,Percent,0.11985,211
Williamsbridge,Retail,2015,Percent,0.1079,212
Williamsburg/Greenpoint,Retail,2015,Percent,0.10373,301
Fort Greene/Brooklyn Hts,Retail,2015,Percent,0.07289,302
Bedford Stuyvesant,Retail,2015,Percent,0.11012,303
Bushwick,Retail,2015,Percent,0.12088,304
East New York,Retail,2015,Percent,0.11432,305
Park Slope,Retail,2015,Percent,0.0719,306
Sunset Park,Retail,2015,Percent,0.09642,307
Crown Heights North,Retail,2015,Percent,0.08289,308
Crown Heights South,Retail,2015,Percent,0.09096,309
Bay Ridge,Retail,2015,Percent,0.09508,310
Bensonhurst,Retail,2015,Percent,0.10657,311
Borough Park,Retail,2015,Percent,0.11809,312
Coney Island,Retail,2015,Percent,0.09203,313
Flatbush/Midwood,Retail,2015,Percent,0.09567,314
Sheepshead Bay,Retail,2015,Percent,0.11083,315
Brownsville,Retail,2015,Percent,0.10819,316
East Flatbush,Retail,2015,Percent,0.0906,317
Canarsie,Retail,2015,Percent,0.08783,318
Astoria,Retail,2015,Percent,0.09755,401
Sunnyside/Woodside,Retail,2015,Percent,0.10772,402
Jackson Heights,Retail,2015,Percent,0.10489,403
Elmhurst/Corona,Retail,2015,Percent,0.11931,404
Ridgewood/Glendale,Retail,2015,Percent,0.08971,405
Rego Park/Forest Hills,Retail,2015,Percent,0.08108,406
Flushing,Retail,2015,Percent,0.11426,407
Fresh Meadows/Briarwood,Retail,2015,Percent,0.09925,408
Woodhaven,Retail,2015,Percent,0.11456,409
Howard Beach,Retail,2015,Percent,0.11148,410
Bayside,Retail,2015,Percent,0.10463,411
Jamaica/St. Albans,Retail,2015,Percent,0.11884,412
Queens Village,Retail,2015,Percent,0.10488,413
The Rockaways,Retail,2015,Percent,0.08444,414
St. George,Retail,2015,Percent,0.10279,501
South Beach,Retail,2015,Percent,0.10068,502
Tottenville,Retail,2015,Percent,0.09719,503
Bronx,Retail,2015,Percent,0.11986,36005
Brooklyn,Retail,2015,Percent,0.09786,36047
Manhattan,Retail,2015,Percent,0.07898,36061
Queens,Retail,2015,Percent,0.10508,36081
Staten Island,Retail,2015,Percent,0.10014,36085
New York City,Retail,2015,Percent,0.09892,3651000
Battery Park/Tribeca,"Transportation, Warehousing, Wholesale",2015,Number,1302.39645,101
Greenwich Village,"Transportation, Warehousing, Wholesale",2015,Number,1922.60355,102
Lower East Side,"Transportation, Warehousing, Wholesale",2015,Number,4613,103
Chelsea/Clinton,"Transportation, Warehousing, Wholesale",2015,Number,2433.20657,104
Midtown Business District,"Transportation, Warehousing, Wholesale",2015,Number,1217.79343,105
Murray Hill/Stuyvesant,"Transportation, Warehousing, Wholesale",2015,Number,3452,106
Upper West Side,"Transportation, Warehousing, Wholesale",2015,Number,2934,107
Upper East Side,"Transportation, Warehousing, Wholesale",2015,Number,5408,108
Manhattanville,"Transportation, Warehousing, Wholesale",2015,Number,2791,109
Central Harlem,"Transportation, Warehousing, Wholesale",2015,Number,4250,110
East Harlem,"Transportation, Warehousing, Wholesale",2015,Number,2701,111
Washington Heights,"Transportation, Warehousing, Wholesale",2015,Number,6783,112
Mott Haven,"Transportation, Warehousing, Wholesale",2015,Number,2658.7936,201
Hunts Point,"Transportation, Warehousing, Wholesale",2015,Number,1518.2064,202
Morrisania,"Transportation, Warehousing, Wholesale",2015,Number,2699.17778,203
Concourse/Highbridge,"Transportation, Warehousing, Wholesale",2015,Number,5077,204
University Heights,"Transportation, Warehousing, Wholesale",2015,Number,4332,205
East Tremont,"Transportation, Warehousing, Wholesale",2015,Number,2817.82222,206
Bedford Park,"Transportation, Warehousing, Wholesale",2015,Number,3841,207
Riverdale,"Transportation, Warehousing, Wholesale",2015,Number,3070,208
Unionport/Soundview,"Transportation, Warehousing, Wholesale",2015,Number,7079,209
Throgs Neck,"Transportation, Warehousing, Wholesale",2015,Number,4220,210
Pelham Parkway,"Transportation, Warehousing, Wholesale",2015,Number,4264,211
Williamsbridge,"Transportation, Warehousing, Wholesale",2015,Number,4760,212
Williamsburg/Greenpoint,"Transportation, Warehousing, Wholesale",2015,Number,4227,301
Fort Greene/Brooklyn Hts,"Transportation, Warehousing, Wholesale",2015,Number,2828,302
Bedford Stuyvesant,"Transportation, Warehousing, Wholesale",2015,Number,4699,303
Bushwick,"Transportation, Warehousing, Wholesale",2015,Number,4879,304
East New York,"Transportation, Warehousing, Wholesale",2015,Number,6439,305
Park Slope,"Transportation, Warehousing, Wholesale",2015,Number,2200,306
Sunset Park,"Transportation, Warehousing, Wholesale",2015,Number,4886,307
Crown Heights North,"Transportation, Warehousing, Wholesale",2015,Number,4379,308
Crown Heights South,"Transportation, Warehousing, Wholesale",2015,Number,3692,309
Bay Ridge,"Transportation, Warehousing, Wholesale",2015,Number,4598,310
Bensonhurst,"Transportation, Warehousing, Wholesale",2015,Number,7923,311
Borough Park,"Transportation, Warehousing, Wholesale",2015,Number,5673,312
Coney Island,"Transportation, Warehousing, Wholesale",2015,Number,4640,313
Flatbush/Midwood,"Transportation, Warehousing, Wholesale",2015,Number,6653,314
Sheepshead Bay,"Transportation, Warehousing, Wholesale",2015,Number,7075,315
Brownsville,"Transportation, Warehousing, Wholesale",2015,Number,4560,316
East Flatbush,"Transportation, Warehousing, Wholesale",2015,Number,5566,317
Canarsie,"Transportation, Warehousing, Wholesale",2015,Number,10669,318
Astoria,"Transportation, Warehousing, Wholesale",2015,Number,7096,401
Sunnyside/Woodside,"Transportation, Warehousing, Wholesale",2015,Number,7066,402
Jackson Heights,"Transportation, Warehousing, Wholesale",2015,Number,9359,403
Elmhurst/Corona,"Transportation, Warehousing, Wholesale",2015,Number,6750,404
Ridgewood/Glendale,"Transportation, Warehousing, Wholesale",2015,Number,7485,405
Rego Park/Forest Hills,"Transportation, Warehousing, Wholesale",2015,Number,4285,406
Flushing,"Transportation, Warehousing, Wholesale",2015,Number,11377,407
Fresh Meadows/Briarwood,"Transportation, Warehousing, Wholesale",2015,Number,6898,408
Woodhaven,"Transportation, Warehousing, Wholesale",2015,Number,8802,409
Howard Beach,"Transportation, Warehousing, Wholesale",2015,Number,8608,410
Bayside,"Transportation, Warehousing, Wholesale",2015,Number,5492,411
Jamaica/St. Albans,"Transportation, Warehousing, Wholesale",2015,Number,13650,412
Queens Village,"Transportation, Warehousing, Wholesale",2015,Number,11492,413
The Rockaways,"Transportation, Warehousing, Wholesale",2015,Number,3852,414
St. George,"Transportation, Warehousing, Wholesale",2015,Number,5432,501
South Beach,"Transportation, Warehousing, Wholesale",2015,Number,4558,502
Tottenville,"Transportation, Warehousing, Wholesale",2015,Number,5792,503
Bronx,"Transportation, Warehousing, Wholesale",2015,Number,46337,36005
Brooklyn,"Transportation, Warehousing, Wholesale",2015,Number,95586,36047
Manhattan,"Transportation, Warehousing, Wholesale",2015,Number,39808,36061
Queens,"Transportation, Warehousing, Wholesale",2015,Number,112199,36081
Staten Island,"Transportation, Warehousing, Wholesale",2015,Number,15782,36085
New York City,"Transportation, Warehousing, Wholesale",2015,Number,309712,3651000
Battery Park/Tribeca,"Transportation, Warehousing, Wholesale",2015,Percent,0.03309,101
Greenwich Village,"Transportation, Warehousing, Wholesale",2015,Percent,0.03309,102
Lower East Side,"Transportation, Warehousing, Wholesale",2015,Percent,0.05765,103
Chelsea/Clinton,"Transportation, Warehousing, Wholesale",2015,Percent,0.03735,104
Midtown Business District,"Transportation, Warehousing, Wholesale",2015,Percent,0.03735,105
Murray Hill/Stuyvesant,"Transportation, Warehousing, Wholesale",2015,Percent,0.03653,106
Upper West Side,"Transportation, Warehousing, Wholesale",2015,Percent,0.02637,107
Upper East Side,"Transportation, Warehousing, Wholesale",2015,Percent,0.04133,108
